Time,Average
2024-08-21 09:34:42+00:00,144
2024-08-21 09:34:52+00:00,145
2024-08-21 09:35:02+00:00,145
2024-08-21 09:35:12+00:00,145
2024-08-21 09:35:22+00:00,144
2024-08-21 09:35:32+00:00,144
2024-08-21 09:35:42+00:00,145
2024-08-21 09:35:52+00:00,145
2024-08-21 09:36:02+00:00,145
2024-08-21 09:36:13+00:00,145
2024-08-21 09:36:23+00:00,144
2024-08-21 09:36:33+00:00,144
2024-08-21 09:36:43+00:00,144
2024-08-21 09:36:53+00:00,145
2024-08-21 09:37:03+00:00,145
2024-08-21 09:37:13+00:00,145
2024-08-21 09:37:23+00:00,145
2024-08-21 09:37:33+00:00,144
2024-08-21 09:37:43+00:00,145
2024-08-21 09:37:53+00:00,144
2024-08-21 09:38:04+00:00,145
2024-08-21 09:38:14+00:00,144
2024-08-21 09:38:24+00:00,145
2024-08-21 09:38:34+00:00,144
2024-08-21 09:38:44+00:00,145
2024-08-21 09:38:54+00:00,145
2024-08-21 09:39:04+00:00,145
2024-08-21 09:39:14+00:00,144
2024-08-21 09:39:24+00:00,145
2024-08-21 09:39:34+00:00,145
2024-08-21 09:39:44+00:00,145
2024-08-21 09:39:54+00:00,145
2024-08-21 09:40:05+00:00,144
2024-08-21 09:40:15+00:00,145
2024-08-21 09:40:25+00:00,144
2024-08-21 09:40:35+00:00,144
2024-08-21 09:40:45+00:00,144
2024-08-21 09:40:55+00:00,145
2024-08-21 09:41:05+00:00,145
2024-08-21 09:41:15+00:00,145
2024-08-21 09:41:25+00:00,145
2024-08-21 09:41:35+00:00,145
2024-08-21 09:41:45+00:00,144
2024-08-21 09:41:56+00:00,145
2024-08-21 09:42:06+00:00,145
2024-08-21 09:42:16+00:00,145
2024-08-21 09:42:26+00:00,144
2024-08-21 09:42:36+00:00,144
2024-08-21 09:42:46+00:00,145
2024-08-21 09:42:56+00:00,145
2024-08-21 09:43:06+00:00,145
2024-08-21 09:43:16+00:00,144
2024-08-21 09:43:26+00:00,145
2024-08-21 09:43:36+00:00,145
2024-08-21 09:43:46+00:00,145
2024-08-21 09:43:57+00:00,144
2024-08-21 09:44:07+00:00,144
2024-08-21 09:44:17+00:00,145
2024-08-21 09:44:27+00:00,144
2024-08-21 09:44:37+00:00,145
2024-08-21 09:44:47+00:00,144
2024-08-21 09:44:57+00:00,144
2024-08-21 09:45:07+00:00,145
2024-08-21 09:45:17+00:00,145
2024-08-21 09:45:27+00:00,145
2024-08-21 09:45:37+00:00,145
2024-08-21 09:45:47+00:00,145
2024-08-21 09:45:58+00:00,145
2024-08-21 09:46:08+00:00,145
2024-08-21 09:46:18+00:00,145
2024-08-21 09:46:28+00:00,145
2024-08-21 09:46:38+00:00,145
2024-08-21 09:46:48+00:00,145
2024-08-21 09:46:58+00:00,145
2024-08-21 09:47:08+00:00,145
2024-08-21 09:47:18+00:00,145
2024-08-21 09:47:28+00:00,145
2024-08-21 09:47:38+00:00,145
2024-08-21 09:47:49+00:00,145
2024-08-21 09:47:59+00:00,145
2024-08-21 09:48:09+00:00,145
2024-08-21 09:48:19+00:00,145
2024-08-21 09:48:29+00:00,144
2024-08-21 09:48:39+00:00,145
2024-08-21 09:48:49+00:00,145
2024-08-21 09:48:59+00:00,145
2024-08-21 09:49:09+00:00,144
2024-08-21 09:49:19+00:00,145
2024-08-21 09:49:29+00:00,144
2024-08-21 09:49:39+00:00,145
2024-08-21 09:49:50+00:00,144
2024-08-21 09:50:00+00:00,145
2024-08-21 09:50:10+00:00,145
2024-08-21 09:50:20+00:00,145
2024-08-21 09:50:30+00:00,145
2024-08-21 09:50:40+00:00,145
2024-08-21 09:50:50+00:00,145
2024-08-21 09:51:00+00:00,145
2024-08-21 09:51:10+00:00,145
2024-08-21 09:51:20+00:00,145
2024-08-21 09:51:30+00:00,145
2024-08-21 09:51:40+00:00,144
2024-08-21 09:51:51+00:00,144
2024-08-21 09:52:01+00:00,144
2024-08-21 09:52:11+00:00,145
2024-08-21 09:52:21+00:00,145
2024-08-21 09:52:31+00:00,145
2024-08-21 09:52:41+00:00,144
2024-08-21 09:52:51+00:00,145
2024-08-21 09:53:01+00:00,145
2024-08-21 09:53:11+00:00,145
2024-08-21 09:53:21+00:00,145
2024-08-21 09:53:31+00:00,144
2024-08-21 09:53:42+00:00,145
2024-08-21 09:53:52+00:00,145
2024-08-21 09:54:02+00:00,145
2024-08-21 09:54:12+00:00,145
2024-08-21 09:54:22+00:00,145
2024-08-21 09:54:32+00:00,144
2024-08-21 09:54:42+00:00,144
